Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count
Egypt,A,1,GK,Essam El-Hadary (captain),1/15/1973,45,157,0,Al-Taawoun,1
Egypt,A,2,DF,Ali Gabr,1/1/1989,29,20,1,West Bromwich Albion,1
Egypt,A,3,DF,Ahmed Elmohamady,9/9/1987,30,77,2,Aston Villa,1
Egypt,A,4,MF,Omar Gaber,1/30/1992,26,23,0,Los Angeles FC,1
Egypt,A,5,MF,Sam Morsy,9/10/1991,26,4,0,Wigan Athletic,1
Egypt,A,6,DF,Ahmed Hegazi,1/25/1991,27,44,1,West Bromwich Albion,1
Egypt,A,7,DF,Ahmed Fathy,11/10/1984,33,125,3,Al Ahly,1
Egypt,A,8,MF,Tarek Hamed,10/24/1988,29,20,0,Zamalek,1
Egypt,A,9,FW,Marwan Mohsen,2/26/1989,29,23,4,Al Ahly,1
Egypt,A,10,FW,Mohamed Salah,6/15/1992,25,57,33,Liverpool,1
Egypt,A,11,FW,Kahraba,4/13/1994,24,18,3,Al-Ittihad,1
Egypt,A,12,DF,Ayman Ashraf,4/9/1991,27,4,0,Al Ahly,1
Egypt,A,13,DF,Mohamed Abdel-Shafy,7/1/1985,32,50,1,Al-Fateh,1
Egypt,A,14,FW,Ramadan Sobhi,1/23/1997,21,22,1,Stoke City,1
Egypt,A,15,DF,Mahmoud Hamdy,6/1/1995,23,0,0,Zamalek,1
Egypt,A,16,GK,Sherif Ekramy,7/10/1983,34,22,0,Al Ahly,1
Egypt,A,17,MF,Mohamed Elneny,7/11/1992,25,60,5,Arsenal,1
Egypt,A,18,FW,Shikabala,3/5/1986,32,29,2,Al-Raed,1
Egypt,A,19,MF,Abdallah Said,7/13/1985,32,35,6,KuPS,1
Egypt,A,20,DF,Saad Samir,4/1/1989,29,11,0,Al Ahly,1
Egypt,A,21,MF,Trézéguet,10/1/1994,23,23,2,Kasımpaşa,1
Egypt,A,22,FW,Amr Warda,9/17/1993,24,15,0,Atromitos,1
Egypt,A,23,GK,Mohamed El-Shenawy,12/18/1988,29,2,0,Al Ahly,1
Russia,A,1,GK,Igor Akinfeev (captain),4/8/1986,32,105,0,CSKA Moscow,1
Russia,A,2,DF,Mário Fernandes,9/19/1990,27,4,0,CSKA Moscow,1
Russia,A,3,DF,Ilya Kutepov,7/29/1993,24,6,0,Spartak Moscow,1
Russia,A,4,DF,Sergei Ignashevich,7/14/1979,38,121,8,CSKA Moscow,1
Russia,A,5,DF,Andrei Semyonov,3/24/1989,29,6,0,Akhmat Grozny,1
Russia,A,6,MF,Denis Cheryshev,12/26/1990,27,11,0,Villarreal,1
Russia,A,7,MF,Daler Kuzyayev,1/15/1993,25,5,0,Zenit Saint Petersburg,1
Russia,A,8,MF,Yury Gazinsky,7/20/1989,28,5,0,Krasnodar,1
Russia,A,9,MF,Alan Dzagoev,6/17/1990,27,56,9,CSKA Moscow,1
Russia,A,10,FW,Fyodor Smolov,2/9/1990,28,31,12,Krasnodar,1
Russia,A,11,MF,Roman Zobnin,2/11/1994,24,11,0,Spartak Moscow,1
Russia,A,12,GK,Andrey Lunyov,11/13/1991,26,3,0,Zenit Saint Petersburg,1
Russia,A,13,DF,Fyodor Kudryashov,4/5/1987,31,18,0,Rubin Kazan,1
Russia,A,14,DF,Vladimir Granat,5/22/1987,31,12,1,Rubin Kazan,1
Russia,A,15,MF,Aleksei Miranchuk,10/17/1995,22,17,4,Lokomotiv Moscow,1
Russia,A,16,MF,Anton Miranchuk,10/17/1995,22,5,0,Lokomotiv Moscow,1
Russia,A,17,MF,Aleksandr Golovin,5/30/1996,22,18,2,CSKA Moscow,1
Russia,A,18,MF,Yuri Zhirkov,8/20/1983,34,83,2,Zenit Saint Petersburg,1
Russia,A,19,MF,Aleksandr Samedov,7/19/1984,33,47,6,Spartak Moscow,1
Russia,A,20,GK,Vladimir Gabulov,10/19/1983,34,10,0,Club Brugge,1
Russia,A,21,MF,Aleksandr Yerokhin,10/13/1989,28,17,0,Zenit Saint Petersburg,1
Russia,A,22,FW,Artem Dzyuba,8/22/1988,29,23,11,Arsenal Tula,1
Russia,A,23,DF,Igor Smolnikov,8/8/1988,29,26,0,Zenit Saint Petersburg,1
Saudi Arabia,A,1,GK,Abdullah Al-Mayouf,1/23/1987,31,10,0,Al-Hilal,1
Saudi Arabia,A,2,DF,Mansoor Al-Harbi,10/19/1987,30,39,1,Al-Ahli,1
Saudi Arabia,A,3,DF,Osama Hawsawi (captain),3/31/1984,34,134,7,Al-Hilal,1
Saudi Arabia,A,4,DF,Ali Al-Bulaihi,11/21/1989,28,3,0,Al-Hilal,1
Saudi Arabia,A,5,DF,Omar Hawsawi,9/27/1985,32,41,3,Al-Nassr,1
Saudi Arabia,A,6,DF,Mohammed Al-Breik,9/15/1992,25,10,1,Al-Hilal,1
Saudi Arabia,A,7,MF,Salman Al-Faraj,8/1/1989,28,42,3,Al-Hilal,1
Saudi Arabia,A,8,MF,Yahya Al-Shehri,6/26/1990,27,56,8,Leganés,1
Saudi Arabia,A,9,MF,Hattan Bahebri,7/16/1992,25,4,0,Al-Shabab,1
Saudi Arabia,A,10,FW,Mohammad Al-Sahlawi,1/10/1987,31,39,28,Al-Nassr,1
Saudi Arabia,A,11,MF,Abdulmalek Al-Khaibri,3/13/1986,32,36,0,Al-Hilal,1
Saudi Arabia,A,12,MF,Mohamed Kanno,9/22/1994,23,6,1,Al-Hilal,1
Saudi Arabia,A,13,DF,Yasser Al-Shahrani,5/25/1992,26,36,0,Al-Hilal,1
Saudi Arabia,A,14,MF,Abdullah Otayf,8/3/1992,25,15,1,Al-Hilal,1
Saudi Arabia,A,15,MF,Abdullah Al-Khaibari,8/16/1996,21,4,0,Al-Shabab,1
Saudi Arabia,A,16,MF,Housain Al-Mogahwi,3/24/1988,30,17,1,Al-Ahli,1
Saudi Arabia,A,17,MF,Taisir Al-Jassim,7/25/1984,33,131,18,Al-Ahli,1
Saudi Arabia,A,18,MF,Salem Al-Dawsari,8/19/1991,26,32,4,Villarreal,1
Saudi Arabia,A,19,FW,Fahad Al-Muwallad,9/14/1994,23,44,10,Levante,1
Saudi Arabia,A,20,FW,Muhannad Assiri,10/14/1986,31,18,4,Al-Ahli,1
Saudi Arabia,A,21,GK,Yasser Al-Mosailem,2/27/1984,34,32,0,Al-Ahli,1
Saudi Arabia,A,22,GK,Mohammed Al-Owais,10/10/1991,26,6,0,Al-Ahli,1
Saudi Arabia,A,23,DF,Motaz Hawsawi,2/17/1992,26,17,0,Al-Ahli,1
Uruguay,A,1,GK,Fernando Muslera,6/16/1986,31,96,0,Galatasaray,1
Uruguay,A,2,DF,José Giménez,1/20/1995,23,41,4,Atlético Madrid,1
Uruguay,A,3,DF,Diego Godín (captain),2/16/1986,32,115,8,Atlético Madrid,1
Uruguay,A,4,DF,Guillermo Varela,3/24/1993,25,3,0,Peñarol,1
Uruguay,A,5,MF,Carlos Sánchez,12/2/1984,33,35,1,Monterrey,1
Uruguay,A,6,MF,Rodrigo Bentancur,6/25/1997,20,6,0,Juventus,1
