Country Name,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),Population Density (per sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any methods (% of women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)"
Afghanistan,AFG,33736494,2.943234185,652860,51.67492877,..,20259549882,600,65573681036,1940,..,63.288,4.802,73.1264,22.5,50.5,73.1,..,62,..,53.93027115,0.651989996,..,13500,..,..,..,..,19215562179,1.310040404,2.432017315,20.54696588,22.03047123,7.002116918,48.80161503,19.36944925,10.08822738,3,..,0.993454695,58.42052823,..,43.16433692,152.3432121,2487497000,0.230145863,..,150409839.2,169146608,125.5995955,569.5779229,-170481690.3,-0.70603602
Albania,ALB,2880703,-0.291205787,28750,100.1983652,..,12636494149,4390,33039219274,11470,..,78.174,1.714,20.6922,..,..,9.4,..,97,104.4681931,95.75414276,0.942780018,0.1,7715,..,..,..,..,11386931490,2.218752054,0.563992596,19.78021824,21.76365481,27.26738418,44.53363192,24.41346239,24.7381502,5,..,1.167601287,116.3375126,1.487346477,54.8877984,92.29086879,8350309000,7.938475372,..,153258443.5,989278987.8,115.7981229,3952.830781,-910000290,1.910016978
Algeria,DZA,39871528,1.919959024,2381740,16.740504,..,1.93E+11,4830,5.67E+11,14220,..,75.86,2.839,10.7052,..,..,24.9,..,95,105.4364166,..,..,0.1,19560,..,..,..,..,1.66E+11,3.763466958,-6.571977498,11.58603316,35.66027007,23.18643876,36.54645865,50.68896349,..,12,..,6.274210027,108.4173223,0.151223545,52.06953936,98.33655016,4671372000,0.428122482,..,72128990.59,-537792920.9,2.194297645,4160.220067,498934428.1,4.784447007
American Samoa,ASM,55537,0.180222443,200,277.685,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,175.4,..,..,..,..,659000000,1.248049922,1.224997424,..,..,64.79514416,99.69650986,..,..,..,..,..,..,..,101.6691958,158.1249663,..,..,..,..,..,..,11865.96323,..,..
Andorra,AND,78014,-1.537836294,470,165.987234,..,..,..,..,..,..,..,..,..,..,..,3.5,..,96,..,..,..,..,160,..,..,..,..,2811489409,0.842203518,-0.455465515,0.470194705,9.783363312,..,..,..,..,..,..,..,91.43999795,..,..,103.0976999,..,..,..,..,..,..,36038.2676,..,..
Angola,AGO,27859305,3.42802067,1246700,22.3464386,..,1.12E+11,4030,1.74E+11,6250,..,61.241,5.766,157.3554,..,..,88.9,..,51,..,..,..,1.9,578560,..,..,..,..,1.03E+11,2.999747493,-3.98089849,..,..,33.44838298,36.8784513,9.552329316,21.25999881,8,..,3.133749619,49.83804154,..,52.49759222,148.8227782,27991041000,5.591253697,..,1252909012,9282167512,13.64212065,3683.552607,-8235471071,10.27804607
Antigua and Barbuda,ATG,99923,1.05434633,440,227.0977273,..,1284191272,12850,2095462734,20970,..,76.207,2.063,45.813,..,..,8,..,91,76.87277222,93.61405182,0.976769984,..,98,..,..,..,..,1364863037,4.060218963,2.458768302,1.674554131,16.11855668,44.12117108,49.11952636,..,..,9,..,..,176.1356244,..,38.58929244,57.99384855,..,..,..,28921024.66,96267801.07,14.91148184,13659.14791,-95640974.63,0.968993459
Argentina,ARG,43417765,1.00985496,2780400,15.61565422,..,5.34E+11,12300,8.52E+11,19630,..,76.415,2.308,63.2644,..,99.6,11.4,..,89,101.4801865,107.0750275,1.02662003,0.4,271120,..,..,..,..,5.95E+11,2.731159828,26.5799916,5.156685902,23.15305614,10.70565205,11.78057404,17.07070488,22.1490803,13,9.438368633,0.86472284,142.4348098,9.008199853,19.67030526,146.9251721,1.73E+11,3.107878434,..,685001365.9,11758994011,-0.434614725,13698.29344,-10883760784,..
Armenia,ARM,2916950,0.368528212,29740,98.08170814,29.8,11754066439,4030,26526222994,9090,8.2,74.445,1.622,24.785,..,..,14,..,97,94.36654663,86.03761292,1.037870049,0.2,3320,3.508264237,..,..,..,10553337673,3.200000002,1.213909902,17.22312003,25.70869944,29.72799648,41.86526887,20.73053013,23.09249267,4,..,4.239225803,118.7709765,5.274277394,44.7685097,118.6091567,8928447000,14.15177845,..,363788468.8,178295867.1,119.1244279,3617.935746,-161524903.9,3.731691193
Aruba,ABW,104341,0.524658159,180,579.6722222,..,..,..,..,..,..,75.725,1.801,24.261,..,..,..,..,..,..,..,..,..,4.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,135.13384,4.694767742,..,99.23053139,..,..,..,74978013.41,-28775856.42,..,..,39290644.13,0.475066611
