Country,Average
Argentina,28.69565217
Australia,27.60869565
Belgium,27.13043478
Brazil,28
Colombia,27.56521739
Costa Rica,29.08695652
Croatia,27.43478261
Denmark,26.60869565
Egypt,28.43478261
England,25.56521739
France,25.56521739
Germany,26.69565217
Iceland,28.13043478
Iran,26.65217391
Japan,28.2173913
Mexico,28.86956522
Morocco,26.7826087
Nigeria,25.52173913
Panama,28.82608696
Peru,26.91304348
Poland,27.86956522
Portugal,27.91304348
Russia,28.26086957
Saudi Arabia,28.13043478
Senegal,26.69565217
Serbia,26.26086957
South Korea,27.26086957
Spain,28
Sweden,27.69565217
Switzerland,26.60869565
Tunisia,26
Uruguay,27.65217391
