Name,Age,Nationality,Overall,Potential,Club,Value,Wage
L. Messi,30,Argentina,94,94,FC Barcelona,118500000,565000
Cristiano Ronaldo,32,Portugal,94,94,Real Madrid CF,95500000,565000
L. Suarez,30,Uruguay,92,92,FC Barcelona,97000000,510000
E. Hazard,26,Belgium,91,91,Chelsea,95500000,405000
K. De Bruyne,26,Belgium,91,92,Manchester City,104500000,395000
G. Bale,27,Wales,88,88,Real Madrid CF,62000000,370000
R. Lewandowski,28,Poland,91,91,FC Bayern Munich,92000000,355000
T. Kroos,27,Germany,90,90,Real Madrid CF,79000000,340000
L. Modrić,31,Croatia,89,89,Real Madrid CF,57000000,340000
S. Agueero,29,Argentina,89,89,Manchester City,66500000,325000
A. Sanchez,28,Chile,88,88,Manchester United,60000000,325000
Sergio Ramos,31,Spain,90,90,Real Madrid CF,52000000,310000
De Gea,26,Spain,91,93,Manchester United,74500000,295000
David Silva,31,Spain,89,89,Manchester City,58500000,285000
Neymar,25,Brazil,92,93,Paris Saint-Germain,119500000,280000
G. Higuain,29,Argentina,90,90,Juventus,77000000,275000
Coutinho,25,Brazil,87,90,FC Barcelona,63000000,275000
I. Rakitić,29,Croatia,86,86,FC Barcelona,42500000,275000
Iniesta,33,Spain,87,87,FC Barcelona,29500000,260000
P. Pogba,24,France,88,92,Manchester United,76000000,250000
J. Rodriguez,25,Colombia,87,90,FC Bayern Munich,63000000,250000
Isco,25,Spain,86,89,Real Madrid CF,55000000,250000
Sergio Busquets,28,Spain,87,87,FC Barcelona,41000000,250000
Jordi Alba,28,Spain,87,87,FC Barcelona,40000000,250000
K. Benzema,29,France,85,85,Real Madrid CF,38500000,250000
Marcelo,29,Brazil,87,87,Real Madrid CF,38000000,250000
N. Kante,26,France,88,90,Chelsea,59500000,245000
Pique,30,Spain,87,87,FC Barcelona,37500000,240000
M. Neuer,31,Germany,92,92,FC Bayern Munich,61000000,230000
Casemiro,25,Brazil,86,89,Real Madrid CF,47000000,230000
