state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,2015,667549746567,0,15689290,30897130,0,548920,0,6284937,159694
AL,2015,4141042984208,0,98618040,5584445735862,41951382,436303245654,0,152477427,0
AR,2015,2174003360444,0,356919531667,148662860,13837794,892901351667,927,55559428,0
AZ,2015,3616716948118,0,653572273070,336571020,32525595,49644176984,3456608,113142048,452035
CA,2015,29787484515,11883135,13808498112650,1161396091548638,18505385,28837293584165,14814384,196703858,12229559
CO,2015,315408957265,0,1620161278523,116437500,0,79724832,251371,52393077,7475279
CT,2015,600469436792,0,3024673707,173623090,17410917,597714189754,17439,37470622,0
DC,2015,98,0,0,226530,0,309990,0,53750,0
DE,2015,598588154134,0,0,6689267238081,0,762980,48512,7810006,5126
FL,2015,429040092149515,0,2442940,1558241524774,28121916,25018592417636,223933,237412633,0
GA,2015,37130630260371,0,2983563814532,504692660,33838462,3408004392768,129452,128817898,0
HI,2015,13374127023150,230340,1211700,50155,0,3209410,54397,10119500,612772
IA,2015,29811075110292,0,9601450,23981350,5243446,2561481995,0,56658918,17872632
ID,2015,7899361,75600,87566220,38035880,0,175481425796,0,15667095,2270186
IL,2015,7377370656093,0,1244600,10863883280060,97282139,52682136,49360,193952040,10747270
IN,2015,782306881338003,0,3812360,162629872268638,0,4464080,156098,104019275,4515147
KS,2015,2459333448502,0,189630,11739020,8630178,619370,1806,45527124,10998501
KY,2015,726204291077213,0,34034810,59497270,0,92299348827,0,83543671,0
LA,2015,151649584243085,0,9990360,662108322400747,15300736,962752608468,0,107812354,0
MA,2015,2252664777075,0,827184473881,210074110,4994806,1047103119769,451366,32085969,214666
MD,2015,13925604232348,0,16231900,45553450,14643325,403239111162,118801,36365544,434595
ME,2015,91901548263,0,33605270,29519060,0,1829212970026,0,11741265,1295708
MI,2015,52884033826492,0,1499223480821,200447981212778,29333786,10382631446608,1190,113008050,4796898
MN,2015,2469709827939,0,8490540,73894380,12038606,6288261177196,2789,56979768,9778845
MO,2015,6532552198842,0,1595020347749,45964130,10440082,9984129061,16898,83640067,1033076
MS,2015,639960514129,0,0,451169430,11714588,134541493078,0,64757864,0
MT,2015,16013206496426,0,98877290,59920617055,0,21281,0,29302401,1964726
NC,2015,39922168434587,0,474200494,365445960,42096761,5440242045348,1373579,128388445,0
ND,2015,2773441326459,0,20941680,71104439063,0,35940,0,37156612,6505704
NE,2015,241854216115,0,16849800,4307310,10324728,709530,0,39883391,3180463
NH,2015,936662175564,0,12702220,60516950,9484204,1186501505681,0,20015893,423496
NJ,2015,1759096374936,0,9541169577,36974456221033,33261760,9456930,627890,74608860,21539
NM,2015,2043953262958,9675,994730,93646240,0,195730,614877,32701398,2090021
NV,2015,265728915982,3110504,22641360,289995145523,0,256950,1657405,39046784,309724
NY,2015,23800661892293,0,26014520422812,569234150,44602871,1624771616274,100526,138627721,3976980
OH,2015,717095301317027,0,4566690,28033716945021,17376736,472855325902,56072,121893401,1203008
OK,2015,2486703210812,0,266390172496,342863270,0,91201244967,1556,76135596,14030897
OR,2015,23773596065,178804,312538510,162370920,0,368525747239,24208,57866535,6631555
PA,2015,64637233729487,0,2603704508927,59454655420237,80516752,1934118469842,63894,214572291,3352672
RI,2015,114273,0,31480,65859430,0,2112380,14351,6939019,10067
SC,2015,22631173193195,0,2564360904379,165493060,53156320,1863862102993,4220,96532213,0
SD,2015,149507917203,0,48504850,7727530,0,0,0,9633033,2497513
TN,2015,30586331135133,0,9581240530702,932373011960,24960472,81768922055,76147,75214636,45841
TX,2015,121554284241564,0,9564100,2377314272579301,39354677,783645656580,400759,449826336,44833365
US-Total,2015,135239819728248749,15917575,2490800855091488,133348211013116698,797177877,2170337241928506,24892904,4077600939,190718548
UT,2015,3165648919732,429517,7687730,82176658304,0,851310,31859,41949120,625917
VA,2015,172314261107835,0,11584281036382,332842160,28060358,11030323041126,0,84411592,0
VT,2015,3056,0,11394980,14930,0,18993445620,48022,1982047,325365
WA,2015,505191521671,0,7340491640021,13045927395004,8160912,2989481692254,790,109287458,7075385
WI,2015,37180547207750,0,23406810,133987750,10008183,571059999861,1417,66360183,1589381
WV,2015,68056093140214,0,13850430,130363029077,0,49800,0,72295269,1376232
WY,2015,4309118944898,0,8682610,722304405386,0,0,0,48966519,3756708
