state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,1990,510573497116,0,9745210,34662610,0,151035,0,5599506,0
AL,1990,53658115138089,0,103665070,1020714269476,12051882,475032099847,0,79652133,0
AR,1990,1920793579979,0,365465342972,35785730,11282053,153891238044,0,39099598,0
AZ,1990,31915610151867,0,7417576249767,23339000,20597689,107888,0,62774297,0
CA,1990,26376775473852,14521254,23792567986252,741683082146742,32692807,21179154121986,366668,165784909,2758881
CO,1990,2981498327390,0,141987033198,12900920,0,289900,0,32548127,0
CT,1990,35946458874466,0,5706196474,12514794,19776250,10733100,0,35147247,0
DC,1990,361043,0,0,0,0,0,0,361043,0
DE,1990,51134791793806,0,0,763019164881,0,0,0,7841500,0
FL,1990,6010025725535138,0,1746040,186426830,21779560,16730782144131,0,131502553,0
GA,1990,68545692499480,0,4589117342110,8301800,24796884,1354572947319,0,102686240,0
HI,1990,23818735862,0,795160,16163,0,8400050,0,9702752,28825
IA,1990,2575194154471,0,8751140,3333900,3011572,180180,0,30044506,0
ID,1990,44371994,0,91149900,557140,0,410203,0,9691475,0
IL,1990,54966018438584,0,1439260,1419891381562,71887302,154855333,0,129392471,0
IN,1990,96925554868038,0,4410210,14708371674549,0,371170,0,101417116,0
KS,1990,2372025874026,0,132340,25028070,7874487,0,0,34184857,45
KY,1990,70500461118646,0,31603830,277960,0,0,0,73807286,0
LA,1990,17856687232098,0,6564920,39474866440700,14196784,916462223538,0,76465630,0
MA,1990,1136589315101792,0,1249242669583,6132702830,5069620,15605150,0,39811011,0
MD,1990,235098623571272,0,22989100,1522443488197,1251416,371074149118,0,33162292,0
ME,1990,4532183081100,0,40905360,507860,4860727,3607983048849,0,15946014,0
MI,1990,67066870861725,0,1627918694986,7837956340949,21610500,3108421097963,0,100059737,0
MN,1990,28176280447814,0,8570460,5398390,12139302,484811425018,0,43070376,266
MO,1990,4879679390033,0,219211536259,3121090,7998039,0,0,59352830,0
MS,1990,9526527738971,0,0,59196640,7422131,1594124,0,25201417,0
MT,1990,1511961928982,0,107168170,552550,0,109099,0,26029772,0
NC,1990,49821595328025,0,6819427180046,2034650,25905319,262701438214,0,84925767,0
ND,1990,2518900341547,0,17111480,515630,0,0,0,26993261,0
NE,1990,1266115012981,0,11400930,3080650,7511298,0,0,21633587,0
NH,1990,29592032346493,0,18810870,0,4080691,147524990198,0,12405196,0
NJ,1990,70578202094969,0,31351149547,69143250,23770387,2460583471,0,39968834,0
NM,1990,2582692835626,0,2054350,27380870,0,141280,0,28820204,0
NV,1990,15053277284108,761192,17350810,22170270,0,0,0,20050685,0
NY,1990,2591304733884855,0,281882221054095,2272433589034,23623356,1568979407959,0,135345692,0
OH,1990,115832650374481,0,1813950,24158564159,10663897,304285318075,0,127980527,0
OK,1990,2565534776947,0,273059419764,1823676688970,0,1780268963,0,47079131,0
OR,1990,131734427777,0,412403670,8193280,6073796,90487802598,0,50372236,539
PA,1990,1066771554654522,0,2869192879249,2833882841604,57787051,300109538313,0,175623311,0
RI,1990,185671,0,99460,8769430,0,347560,0,1107316,0
SC,1990,23411867172575,0,3298066506389,7875350,42880669,495611269290,0,71363174,0
SD,1990,24725148149,0,39344020,124080,0,0,0,6427473,0
TN,1990,51825606137067,0,10015363478151,2241464210,14002591,44919366858,0,76187609,0
TX,1990,1209213961827803,0,17936250,1362343252997509,15859258,3331321103471,385,281559635,0
US-TOTAL,1990,1594011479126460202,15434271,2928658463507741,37276515410382830,576861678,1326037932521889,367087,3037827337,2788600
UT,1990,3152292651852,151825,5084430,146488182005,0,0,0,32563539,0
VA,1990,238999021438264,0,1309499833669,11348090,23820152,6207941174673,34,52564458,0
VT,1990,2543,0,13650310,652810,3616268,114985,0,5164108,0
WA,1990,739027942981,0,874667080,2880588460,5742027,64991122771,0,102071533,0
WI,1990,33168941179457,0,20144120,3472040,11225913,149770683116,0,47768857,44
WV,1990,77643366325675,0,12950510,90063174182,0,0,0,79539544,0
WY,1990,3890846749205,0,6446130,2682028642,0,50440,0,39974965,0
AK,1991,520514513425,0,8961130,33193950,0,140381,0,5389828,0
AL,1991,58222842167824,0,107577230,1222500293206,15874637,313302216550,0,88786612,0
AR,1991,1964471268257,0,354696614103,33248860,12661793,166131373914,0,40651244,0
AZ,1991,32557748117399,0,6735540362912,22263880,25095776,106788,0,67202551,0
CA,1991,26324191970119,14784796,2195706499860,740061601978403,31541799,24714004114644,471361,158947642,2914505
CO,1991,2913401037910,0,179429018130,13146810,0,588320,0,32321593,0
CT,1991,36334277993224,0,4333383556,15718562646,12242911,11626210,0,27036467,0
DC,1991,179814,0,0,0,0,0,0,179814,0
DE,1991,48207591900822,0,0,11102360,0,0,0,7838132,0
FL,1991,6201348430599959,0,2630660,1975881010292,20507569,22598422086128,0,139416689,0
GA,1991,61034072541032,0,4232058432291,8098260,26016023,657883041610,0,96173131,0
HI,1991,76127714453,0,709880,51479,0,8230820,0,8703235,35621
IA,1991,2675677149892,0,9011110,3880040,4146811,252670,0,32267856,0
ID,1991,16359361,0,87452790,1072430,0,9784487645,0,9428619,0
IL,1991,55060170910110,0,1344570,1735870385381,71866091,182055211,0,130274345,0
IN,1991,97457227529353,0,3990510,14547482107806,0,331140,0,101981299,0
KS,1991,2343500860984,0,105670,32655290,5858613,0,0,32630743,42
KY,1991,71713851111558,0,36578010,218710,0,0,0,75505081,0
LA,1991,1896847955760,0,6564920,36363381955600,13956196,916612342071,0,74972693,0
MA,1991,1198559316159825,0,1114929622480,6329862800,4416611,16346510,0,41019791,0
MD,1991,228356714078506,0,14072870,1517463478704,9036100,336551160602,0,39850884,0
ME,1991,8579602152209,0,38172310,491010,6264366,3844193819497,0,17344783,0
MI,1991,66878223658567,0,1751668795785,8499078217829,27021214,5049781214131,0,105978124,0
MN,1991,26783813583697,0,10370920,8039400,12059055,439811424465,0,42132110,237
MO,1991,48211692119145,0,111938947872,10930010,9979371,0,0,60474726,0
MS,1991,8790265396188,0,0,57189360,9132933,1838294,0,25876616,0
MT,1991,1643252019654,0,119700070,323440,0,98623,0,28553148,0
NC,1991,50767188275785,0,5850120216432,3859070,30312425,441281296373,0,89375284,0
ND,1991,2582874752646,0,17566840,94040131,0,0,0,27679148,0
NE,1991,1359122813459,0,10446710,3033270,8047662,0,0,23000347,0
NH,1991,31680541592175,0,15852860,10,6787851,141432946544,0,14221341,0
NJ,1991,52371322151098,0,21598155184,1059290767544,24806606,8047650,0,43526466,0
NM,1991,2212931233012,0,2371080,28636620,0,141280,0,25277222,0
NV,1991,16365730242477,995408,23650500,20949710,0,0,0,22065204,0
NY,1991,2665995128220555,0,271721201007269,2307402751520,28448293,1660364320938,0,134600499,0
OH,1991,117502355427742,0,1542240,36456657312,14832789,324478373031,0,134036497,0
OK,1991,2840463946069,0,192213765352,18416871106620,0,268133,0,49099117,0
OR,1991,281419911000,0,410883370,12231540,1465368,91428750864,0,47444889,539
PA,1991,1060288754125862,0,1920358963145,2108889721051,57475671,670825566951,0,172762709,0
RI,1991,94651,0,99460,27490670,0,721550,0,2925819,0
SC,1991,23821335180889,0,3111318574257,10816365821,43108073,594111377836,0,72180007,0
SD,1991,27270878427,0,38281160,90360,0,0,0,6572666,0
TN,1991,48236733172265,0,10872944376338,1972603153,16586744,36354424765,0,76192806,0
TX,1991,1208450511492995,0,22245810,1364428933320535,19799867,3300291166585,371,286328708,0
US-TOTAL,1991,1590622748119751573,15966444,2889941894541435,38155301711335593,612565087,1566474633725358,471765,3073798885,2950951
UT,1991,2888760051314,186241,6269650,549984203802,0,0,0,30505906,0
VA,1991,248213912353996,0,10800551037665,17308870,23886268,7011291193000,33,54729094,0
VT,1991,5244,0,10527190,953410,4108314,126367,0,5387985,0
WA,1991,794477931164,0,893423970,46042497467,4229868,46633717827,0,102870562,0
WI,1991,34487009164243,0,25166330,3815900,10991419,135688680149,0,49356737,6
WV,1991,71867808253047,0,10653850,58808178489,0,0,0,73423735,0
WY,1991,3808134561417,0,7359320,3217630,0,50440,0,39298388,0
AK,1992,495795521950,0,9181200,32143300,0,16295131934,0,5298424,0
AL,1992,61160671194866,0,102600230,1396063328720,19397436,287902467853,0,95234422,0
AR,1992,2009360052668,0,33772552692,34266320,11325661,149831452610,0,39746101,0
AZ,1992,34817088101915,0,6620757290465,29753650,25608706,138431,0,70552727,0
CA,1992,32995101948539,14771487,201674104495,887047872714688,35244336,27833564252371,399260,177155459,2863999
